Food Resource Type,Agency,Location,Operational Status,Who They Serve,Address,Latitude,Longitude,Phone Number,Website,Days/Hours,Date Updated,bank_id
food bank & meal,Bethany Community Church,Bethany Food Bank at Green Lake,open,General Public,"8023 Green Lake Dr N, Seattle, Wa 98103",47.6873209,-122.3411453,(206)-524-9000,https://www.churchbcc.org/missions/localmissions,Monday,7/22/2025,foodbank17
food bank & meal,Blessed Sacrament,First United Methodist Church of Seattle,open,General Public,"5050 8Th Ave Ne, Seattle, Wa 98105",47.6664368,-122.3190289,(206)-547-3020,https://www.blessed-sacrament.org/outreach,"Sunday, Friday",8/12/2025,foodbank18
meal,Bread of Life Mission,Bread of Life Mission,open,General Public,"97 S Main St, Seattle, Wa 98104",47.5999268,-122.334605,(206)-682-3579,https://www.breadoflifemission.org/emergency-services,"Monday, Tuesday, Wednesday, Thursday, Friday",8/7/2025,foodbank19
food bank,Byrd Barr Place,The Market,open,General Public,"722 18Th Ave, Seattle, Wa 98122",47.6088532,-122.3085629,(206)-812-4940,https://www.byrdbarrplace.org/programs-services/food-bank/,"Tuesday, Wednesday, Thursday",7/22/2025,foodbank20
meal,Catholic Community Services of  Western Washington,African American Catholic Community Services,open,Older Adults 60+ and Eligible Participants,"1323 S Yakima Ave, Tacoma, Wa 98401",47.2497146,-122.4462912,(253)-383-3697,https://ccsww.org/services/meal-sites/,Thursday,7/21/2025,foodbank21
meal,Catholic Community Services of  Western Washington,Fife Community Center,open,Older Adults 60+ and Eligible Participants,"2111 54Th Ave E, Fife, Wa 98424",47.2378386,-122.356354,(253)-896-8662,https://ccsww.org/services/meal-sites/,"Wednesday, Friday",8/12/2025,foodbank23
meal,Catholic Community Services of  Western Washington,Gig Harbor Peninsula Lutheran Church,open,Older Adults 60+ and Eligible Participants,"6509 38Th Ave Nw, Gig Harbor, Wa 98335",47.3520152,-122.5899539,(253)-851-3511,https://ccsww.org/services/meal-sites/,"Monday, Wednesday",8/12/2025,foodbank24
meal,Catholic Community Services of  Western Washington,Japanese Tillicum Community Center,open,Older Adults 60+ and Eligible Participants,"14916 Washington, Tillicum, Wa 98499",47.1238194,-122.5542466,(253)-584-1280,https://ccsww.org/services/meal-sites/,Wednesday,8/12/2025,foodbank25
meal,Catholic Community Services of  Western Washington,Lakewood Catholic Community Services,open,Older Adults 60+ and Eligible Participants,"5705 Main St Sw, Lakewood, Wa 98499",47.1620074,-122.5147767,(253)-474-1200,https://ccsww.org/services/meal-sites/,"Monday, Tuesday",8/12/2025,foodbank26
meal,Catholic Community Services of  Western Washington,Lighthouse,open,Older Adults 60+ and Eligible Participants,"5016 S A St, Tacoma, Wa 98408",47.1718102,-122.4314291,(253)-591-5083 & (253)-426-1282,https://ccsww.org/services/meal-sites/,"Monday, Tuesday, Wednesday, Thursday, Friday",8/12/2025,foodbank27
meal,Catholic Community Services of  Western Washington,Parkland Trinity Lutheran Church,open,Older Adults 60+ and Eligible Participants,"12115 Park Ave S, Parkland, Wa 98444",47.1472555,-122.4392536,(253)-537-0201,https://ccsww.org/services/meal-sites/,"Monday, Friday",8/12/2025,foodbank28
meal,Catholic Community Services of  Western Washington,Tacoma Portland Ave Community Center,open,Older Adults 60+ and Eligible Participants,"3513 E Portland Ave, Tacoma, Wa 98408",47.2298509,-122.4074252,(253)-591-5391,https://ccsww.org/services/meal-sites/,"Tuesday, Thursday",8/12/2025,foodbank29
meal,Catholic Community Services of  Western Washington,Puyallup Activity Center,open,Older Adults 60+ and Eligible Participants,"210 W Pioneer, Puyallup, Wa 98371",47.1903177,-122.2952862,(253)-841-5447,https://ccsww.org/services/meal-sites/,"Monday, Wednesday, Friday",8/12/2025,foodbank30
meal,Catholic Community Services of  Western Washington,Ruston Pt. Defiance Senior Center,open,Older Adults 60+ and Eligible Participants,"4716 N Baltimore, Tacoma, Wa 98407",47.2923601,-122.5081236,(253)-756-0601,https://ccsww.org/services/meal-sites/,"Monday, Tuesday, Wednesday, Thursday",8/12/2025,foodbank31
meal,Catholic Community Services of  Western Washington,Steilacoom Senior Center,open,Older Adults 60+ and Eligible Participants,"2301 Worthington, Steilacoom, Wa 98388",47.1704387,-122.5922776,(253)-581-1076,https://ccsww.org/services/meal-sites/,"Tuesday, Wednesday, Friday",8/12/2025,foodbank32
meal,Catholic Community Services of  Western Washington,Tillicum Community Center,open,Older Adults 60+ and Eligible Participants,"14916 Sw Washington, Tillicum, Wa 98499",47.1238194,-122.5542466,(253)-584-12880,https://ccsww.org/services/meal-sites/,"Monday, Thursday",8/12/2025,foodbank34
meal,Catholic Community Services of  Western Washington,University Place Senior Center,open,Older Adults 60+ and Eligible Participants,"2534 Grandview Dr W, University Place, Wa 98466",47.2362832,-122.5507228,(253)-564-1992,https://ccsww.org/services/meal-sites/,Friday,8/12/2025,foodbank35
food bank & meal,Catholic Community Services of  Western Washington,Federal Way Senior Center,open,Older Adults 60+ and Eligible Participants,"4016 S 352Nd St, Auburn, Wa 98001",47.2867569,-122.2862589,(253)-838-3604,https://www.federalwayseniorcenter.org,"Monday, Thursday",8/12/2025,foodbank36
meal,Catholic Community Services of  Western Washington,Issaquah Senior Center,open,Older Adults 60+ and Eligible Participants,"180 E Sunset Way, Issaquah, Wa 98207",47.5311594,-122.0331071,(425)-679-0342,https://ccsww.org/services/issaquah-meals/,"Monday, Tuesday, Wednesday, Thursday, Friday",8/12/2025,foodbank37
meal,Catholic Community Services of  Western Washington,North Bellevue Community Center,open,Older Adults 60+ and Eligible Participants,"4063 148Th Ave Ne, Bellevue, Wa 98007",47.647434,-122.1450803,(425)-452-7681,https://www.bellevuewa.gov/city-government/departments/parks/community-centers/north-bellevue-community-center,"Monday, Tuesday, Wednesday, Friday",7/21/2025,foodbank38
meal,Catholic Community Services of  Western Washington,Pacific/Algona Senior Center,open,Older Adults 60+ and Eligible Participants,"100 3Rd Ave Sw, Pacific, Wa 98047",47.2642772,-122.2536081,(253)-929-1150,https://www.pacificwa.gov/,"Monday, Tuesday, Wednesday, Thursday, Friday",8/12/2025,foodbank39
meal,Catholic Community Services of  Western Washington,Peter Kirk Community Center,open,Older Adults 60+ and Eligible Participants,"352 Kirkland Ave, Kirkland, Wa 98033",47.67621,-122.201035,(425)-587-3360,https://www.kirklandwa.gov/depart/parks/About_Parks_and_Community_Services/Senior_Services.htm,"Tuesday, Wednesday, Friday",7/21/2025,foodbank40
meal,Catholic Community Services of  Western Washington,Phoenix Center,open,Contact Agency for Any Eligibility Requirements,"2329 Rainier Ave S, Seattle, Wa 98144",47.5822614,-122.3015923,(206)-623-7219,https://www.ccsww.org/get-help/shelter-homeless-services/lazarus-center/,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",8/12/2025,foodbank41
food bank,Catholic Community Services of  Western Washington,Snoqualmie Valley Food Bank,open,Older Adults 60+ and Eligible Participants,"31605 3Rd Ave, Black Diamond, Wa 98010",47.3183476,-122.0054494,(360)-886-1011,https://www.blackdiamondcommcenter.org/,"Monday, Tuesday, Wednesday, Thursday",7/25/2025,foodbank42
meal,Catholic Community Services of  Western Washington,Victory Outreach Seattle,open,Older Adults 60+ and Eligible Participants,"2045 S 216Th St, Des Moines, Wa 98198",47.4072518,-122.3057897,(206)-878-1642,https://www.desmoineswa.gov/cms/one.aspx?pageId=17490998,"Monday, Tuesday, Wednesday, Thursday",8/7/2025,foodbank43
meal,Catholic Community Services of  Western Washington,Eastside Community Centr,open,Older Adults 60+ and Eligible Participants,"1721 E 56Th St, Tacoma, Wa 98404",47.2068881,-122.4058446,(253)-404-3935,https://ccsww.org/services/meal-sites/,"Tuesday, Thursday",7/21/2025,foodbank44
meal,Catholic Community Services of  Western Washington,Tacoma Beacon Senior Center,open,Older Adults 60+ and Eligible Participants,"415 S 13Th, Tacoma, Wa 98402",47.2511843,-122.4421687,(253)-591-5083,https://ccsww.org/services/meal-sites/,"Monday, Tuesday, Wednesday, Thursday, Friday",8/12/2025,foodbank45
meal,Catholic Community Services of  Western Washington,Buckley Senior Center,open,Older Adults 60+ and Eligible Participants,"811 Main St, Buckley, Wa 98321",47.1628096,-122.0269228,(360)-829-0190,https://ccsww.org/services/meal-sites/,"Monday, Wednesday, Friday",8/12/2025,foodbank46
meal,Catholic Community Services of Western Washington & SPS,Tukwila Community Center,open,Contact Agency for Any Eligibility Requirements,"12424 42Nd Ave S, Tukwila, Wa 98168",47.4910151,-122.2785589,(206)-768-2822,https://ccsww.org/services/meal-sites/,Unknown,8/12/2025,foodbank47
food bank & meal,Plateau Outreach Ministries,Enumclaw Food Bank,open,Contact Agency for Any Eligibility Requirements,"1720 1/2 Wells St, Enumclaw, Wa 98022",47.20533037,-121.990026,(360)-825-8961,https://www.plateauoutreach.org/,"Monday, Tuesday, Wednesday",2/2/2026,foodbank48
food bank,Cedar Park Kenmore Church,Kenmore Food Bank,open,General Public,"18737 68Th Ave Ne, Kenmore, Wa 98028",47.765377,-122.2498724,(425)-939-1377,https://cpkenmore.com/food-bank,Monday,7/25/2025,foodbank49
meal,Church By The Side Of The Road,Church By the Side of the Road,open,General Public,"3455 S 148Th St, Tukwila, Wa 98168",47.469863,-122.2871757,(206)-243-5024,https://www.cbsr.org/,Tuesday,8/12/2025,foodbank50
meal,Community Lunch on Capitol Hill,All Pilgrims Christian Church,open,Contact Agency for Any Eligibility Requirements,"509 10Th Ave E, Seattle, Wa 98102",47.623387,-122.320142,(206)-972-2524,https://www.communitylunch.org/about-1,"Monday, Tuesday, Wednesday, Thursday, Friday",7/21/2025,foodbank51
meal,Community Lunch on Capitol Hill,All Pilgrims Christian Church,open,General Public,"500 Broadway E, Seattle, Wa 98102",47.6233603,-122.3203773,(206)-972-2524,https://www.communitylunch.org/about-1,"Monday, Tuesday, Wednesday, Thursday, Friday",7/25/2025,foodbank52
meal,Community Network Council,Community Network Council,open,General Public,"1819 Central Ave S, Suite 72, Kent, Wa 98032",47.362482,-122.2307681,Not Available,https://wacnc.org/meals-for-neighbors-program/,"Tuesday, Thursday",8/13/2025,foodbank53
meal,Des Moines Area Food Bank,Abbey Ridge Apartments,open,Youth and Young Adults,"3035 S 204Th St, Seatac, Wa 98198",47.418116,-122.2924305,(206)-878-2660,https://www.myfoodbank.org/meals-for-kids.html,"Monday, Tuesday, Wednesday, Thursday, Friday",8/12/2025,foodbank54
meal,Des Moines Area Food Bank,Angle Lake Park,open,Youth and Young Adults,"19408 International Blvd, Seatac, Wa 98188",47.42802993,-122.2928406,(206)-878-2660,https://www.myfoodbank.org/meals-for-kids.html,"Monday, Tuesday, Wednesday, Thursday, Friday",8/7/2025,foodbank55
meal,Des Moines Area Food Bank,Des Moines Field House,open,Youth and Young Adults,"1000 S 220Th St, Des Moines, Wa 98198",47.4049627,-122.3208554,(206)-878-2660,https://www.myfoodbank.org/meals-for-kids.html,"Monday, Wednesday, Friday",8/11/2025,foodbank56
meal,Des Moines Area Food Bank,Des Moines Marina Farmers Market,open,Youth and Young Adults,"22307 Dock Ave S, Des Moines, Wa 98198",47.4018118,-122.3294018,(206)-878-2660,https://www.myfoodbank.org/meals-for-kids.html,Saturday,8/7/2025,foodbank57
food bank,Des Moines Area Food Bank,Des Moines United Methodist Church,open,General Public,"22225 9Th Ave S, Des Moines, Wa 98198",47.4022373,-122.3224371,(206)-878-2660,https://www.myfoodbank.org/services.html,"Monday, Tuesday, Wednesday, Friday",8/11/2025,foodbank58
meal,Des Moines Area Food Bank,Lakeview Park,open,Youth and Young Adults,"422 Sw 160Th St, Burien, Wa 98166",47.4598173,-122.3409323,(206)-878-2660,https://www.myfoodbank.org/meals-for-kids.html,Monday,8/12/2025,foodbank59
meal,Des Moines Area Food Bank,McMicken Park,open,Youth and Young Adults,"S 166Th St & 37Th Ave S, Seatac, Wa 98188",47.47755124,-122.2852127,(206)-878-2660,https://www.myfoodbank.org/meals-for-kids.html,"Monday, Tuesday, Wednesday, Thursday, Friday",8/7/2025,foodbank60
meal,Des Moines Area Food Bank,Midway Park,open,Youth and Young Adults,"S 221St St & 29Th Ave S, Des Moines, Wa 98198",47.4036369,-122.2982037,(206)-878-2660,https://www.myfoodbank.org/meals-for-kids.html,"Monday, Tuesday, Wednesday, Thursday, Friday",7/25/2025,foodbank61
meal,Des Moines Area Food Bank,Pine Ridge Apartments,open,Youth and Young Adults,"3725 S 180Th St, Seatac, Wa 98188",47.4409849,-122.2885294,(206)-878-2660,https://www.myfoodbank.org/meals-for-kids.html,"Monday, Tuesday, Wednesday, Thursday, Friday",8/12/2025,foodbank62
meal,Des Moines Area Food Bank,Redondo Beach Park,open,Youth and Young Adults,"Redondo Beach Dr S And Redondo Way S, Des Moines, Wa 98198",47.34855775,-122.3250986,(206)-878-2660,https://www.myfoodbank.org/meals-for-kids.html,"Monday, Tuesday, Wednesday, Thursday, Friday",8/7/2025,foodbank63
meal,Des Moines Area Food Bank,Steve Cox Memorial Park,open,Youth and Young Adults,"1321 Sw 102Nd�St, Seattle, Wa 98146",47.511684,-122.3520731,(206)-878-2660,https://www.myfoodbank.org/meals-for-kids.html,"Monday, Tuesday, Wednesday, Thursday, Friday",8/12/2025,foodbank64
meal,Des Moines Area Food Bank,Underwood Park,open,Youth and Young Adults,"20Th Ave S, Des Moines, Wa 98198",47.4097855,-122.3076141,(206)-878-2660,https://www.myfoodbank.org/meals-for-kids.html,"Monday, Tuesday, Wednesday, Thursday, Friday",8/12/2025,foodbank65
meal,Des Moines Area Food Bank,Valley Ridge Park,open,Youth and Young Adults,"4644 S 188Th St, Seatac, Wa 98188",47.435277,-122.2743633,(206)-878-2660,https://www.myfoodbank.org/meals-for-kids.html,"Monday, Tuesday, Wednesday, Thursday, Friday",8/12/2025,foodbank66
meal,Des Moines Area Food Bank,Valley View Library,open,Youth and Young Adults,"17850 Military Rd S, Seatac, Wa 98188",47.4432145,-122.2737438,(206)-878-2660,https://www.myfoodbank.org/meals-for-kids.html,"Monday, Tuesday, Wednesday, Thursday, Friday",8/12/2025,foodbank67
meal,Des Moines Area Food Bank,Willow Lake Apartments,open,Youth and Young Adults,"3002 32Nd Ave S, Seatac, Wa 98188",47.444696,-122.2941207,(206)-878-2660,https://www.myfoodbank.org/meals-for-kids.html,"Monday, Tuesday, Wednesday, Thursday, Friday",7/21/2025,foodbank68
meal,Des Moines Area Food Bank,Windsor Heights Apartments,open,Youth and Young Adults,"17229 32Nd Ave S, Seatac, Wa 98188",47.448479,-122.2956636,(206)-878-2660,https://www.myfoodbank.org/meals-for-kids.html,"Monday, Tuesday, Wednesday, Thursday, Friday",7/21/2025,foodbank69
food bank & meal,El Centro de la Raza,El Centro de la Raza,open,"Food Bank: General Public 
Meals: Older Adults 60+ and Eligible Participants","2524 16Th Ave S, Seattle, Wa 98144",47.5805157,-122.3113797,(206)-957-4605,https://www.elcentrodelaraza.org/get-help/human-emergency-services/food-bank/,"Wednesday, Thursday, Friday",7/21/2025,foodbank70
food bank,Epic Church,The Giving Room,open,General Public,"10510 Stone Ave N, Seattle, Wa 98133",47.7052676,-122.3416573,(206)-552-9586,https://www.epiclifechurch.org/incarnational-ministry,Monday,8/12/2025,foodbank71
food bank & meal,Eritrean Association in Greater Seattle,Eritrean Association in Greater Seattle,open,Older Adults 60+ and Eligible Participants,"1954 S Massachusetts St, Seattle, Wa 98144",47.58918453,-122.3072811,(206)-548-6387,https://www.eritreanassociation.org/programs-blog/blog-post-title-four-thpy4,Unknown,8/7/2025,foodbank72
food bank,Fall City Community Food Pantry,Fall City United Methodist Church,open,General Public,"4326 337Th Place Se, Fall City, Wa 98024",47.5662398,-121.8906809,(425)-269-8098,https://www.fallcityfoodpantry.org/what-we-do-1,Wednesday,8/7/2025,foodbank73
food bank,Salvation Army,Greenwood Food Bank - Hope Market,open,General Public,"9501 Greenwood Ave N, Seattle, Wa 98103",47.6984899,-122.3557886,Not Available,https://seattletemple.salvationarmy.org/seattle_temple_corps/greenwood-food-bank-1/,"Tuesday, Wednesday",11/5/2025,foodbank74
food bank,FamilyWorks,Wallingford Food Bank,open,General Public,"4318 Stone Way N, Seattle, Wa 98103",47.6597609,-122.3444542,(206)-647-1780,https://www.familyworksseattle.org/food-banks/,"Tuesday, Thursday, Friday",11/5/2025,foodbank75
meal,Federal Way Community Caregiving Network,Christian Faith Center,open,General Public,"33645 20Th Ave S,�Federal Way, Wa 98003",47.2987135,-122.3086459,(253)-661-0505,https://www.fwccn.org/services.html,Monday,8/12/2025,foodbank76
meal,Federal Way Community Caregiving Network,St. Vincent de Paul Catholic Church,open,General Public,"345 S 312Th, Federal Way, Wa 98003",47.2987135,-122.3086459,(253)-661-0505,https://www.fwccn.org/services.html,Saturday,7/25/2025,foodbank77
food bank,Federal Way Food Bank,Multi-Service Center,open,General Public,"�27614 Pacific Highway S, Federal Way, Wa 98003",47.3013527,-122.320142,(253)-838-6810,https://mschelps.org/gethelp/food/,"Tuesday, Wednesday, Thursday",8/12/2025,foodbank78
food bank & meal,Filipino Community of Seattle,Filipino Community of Seattle Meals and Food Bank,open,"Food Bank: General Public 
Meals: Older Adults 60+ and Eligible Participants","5740 Martin Luther King Jr Way S, Seattle, Wa 98144",47.5500465,-122.2871358,(206)-722-9372,https://www.filcommsea.org/senior-services,"Monday, Tuesday, Thursday",8/7/2025,foodbank79
meal,Filipino Community of Seattle,Eritrean Association in Greater Seattle,open,Older Adults 60+ and Eligible Participants,"1528 Valentine Pl S, Seattle, Wa 98144",47.5888499,-122.3070989,(206)-722-9372,https://www.filcommsea.org/index.php/programs/,"Monday, Tuesday, Thursday",8/7/2025,foodbank80
meal,First Covenant Church,First Covenant Church,open,Contact Agency for Any Eligibility Requirements,"400 E Pike St, Seattle, Wa 98122",47.6142392,-122.3263239,(206)-322-7411,https://www.firstcovenantseattle.org/outreach,Saturday,8/12/2025,foodbank81
meal,First United Methodist Church of Seattle,First United Methodist Church of Seattle,open,General Public,"180 Denny Way, Seattle, Wa 98109",47.6188068,-122.3531962,(206)-622-7278,https://www.firstchurchseattle.org/shared-breakfast/?fbclid=IwAR2EAykPB90--700TuZeuY3aX18yx3tXkg9lbCW8qVghb3RgTCJJnwkB7wQ,Sunday,8/7/2025,foodbank82
meal,Food Not Bombs - Seattle,Occidental Park,open,General Public,"Occidental Ave S And S Main St, Seattle, Wa 98104",47.6000475,-122.3328885,(206)-397-6815,https://www.seattlefoodnotbombs.org/?fbclid=IwAR3T68e9asOm5ksmU_CuHK8ppZZir1QFQBRn_HbSvUCNvhDb7sGxeFXhr_g,"Sunday, Saturday",7/22/2025,foodbank83
meal,Frelard Tamales,Frelard Tamales,open,General Public,"6412 Latona Ave Ne, Seattle, Wa 98115",47.6756763,-122.3252185,(206)-523-6654,https://www.frelardtamales.com/,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",8/12/2025,foodbank84
meal,Greater Maple Valley Community Center,Greater Maple Valley Community Center,open,Older Adults 60+ and Eligible Participants,"22010 Se 248Th St, Maple Valley, Wa 98038",47.380747,-122.0477423,(425)-432-1272,https://www.maplevalleycc.org/,"Monday, Wednesday, Friday",8/7/2025,foodbank85
meal,Green Sprouts,SeaTac Community Center,open,Older Adults 60+ and Eligible Participants,"13735 24Th Ave S, Seatac, Wa 98168",47.4802984,-122.3038972,(206)-973-4690,https://www.seatacwa.gov/services/senior-program,"Tuesday, Wednesday, Thursday, Friday",7/25/2025,foodbank86
food bank,Help Northwest,Help Northwest,open,General Public,"404 22Nd St Se, #D, Auburn, Wa 98002",47.2883898,-122.2238173,(206)-227-5977,https://www.helpnorthwest.com/1401.html,"Monday, Tuesday, Wednesday, Thursday, Friday",8/12/2025,foodbank87
food bank,Highline Area Food Bank,Highline Area Food Bank,open,General Public,"18300 4Th Ave S, Burien, Wa 98148",47.4383823,-122.3275755,(206)-433-9900,https://www.highlineareafoodbank.org/,"Tuesday, Thursday",7/22/2025,foodbank88
food bank,Holy Innocents Food Pantry,Holy Innocents Church,open,General Public,"26526 Ne Cherry Valley Rd, Duvall, Wa 98019",47.7482852,-121.9818384,(425)-788-1400,https://www.holyinn.org/holy-innocents-food-pantry,"Tuesday, Wednesday",8/7/2025,foodbank89
meal,Holy Spirit Church,Holy Spirit Church,open,General Public,"310 3Rd Ave S, Kent, Wa 98032",47.3790708,-122.2357517,(253)-859-0444,https://www.holyspiritkent.org/,Friday,7/28/2025,foodbank90
food bank,Holy Temple Evangelistic Center,Holy Temple Evangelistic Center,open,General Public,"12600 Renton Ave S, Seattle, Wa 98178",47.4917411,-122.2393177,(206)-722-3984,https://www.facebook.com/HolyTECSeattle/,Unknown,7/28/2025,foodbank91
food bank,Hopelink,Bellevue Food Bank,open,General Public,"14812 Main St, Bellevue, Wa 98007",47.6101989,-122.1414751,(425)-869-6000,https://www.hopelink.org/need-help/food#collapseTen,"Monday, Tuesday, Wednesday, Thursday",8/12/2025,foodbank92
food bank,Hopelink,Duvall Redemption Church,open,General Public,"15305 Main St Ne, Duvall, Wa 98019",47.7384956,-121.9874376,(425)-869-6000,https://www.hopelink.org/programs/food-program/mobile-market/,"Tuesday, Wednesday, Thursday",7/22/2025,foodbank93
food bank,Hopelink,Fall City Library,open,General Public,"33415 Se 42Nd Pl, Fall City, Wa 98024",47.5687511,-121.8939291,(425)-869-6000,https://www.hopelink.org/programs/food-program/mobile-market/,Wednesday,7/22/2025,foodbank94
food bank,Hopelink,Kenmore Community Church,open,General Public,"7504 Ne Bothell Way, Kenmore, Wa 98028",47.7574803,-122.2403086,(425)-869-6000,https://www.hopelink.org/programs/food-program/mobile-market/,Thursday,7/28/2025,foodbank95
food bank,Hopelink,Kenmore Senior Center,open,General Public,"6910 Ne 170Th St, Kenmore, Wa 98028",47.752997,-122.2498849,(425)-869-6000,https://www.hopelink.org/programs/food-program/mobile-market/,Tuesday,7/28/2025,foodbank96
food bank,Hopelink,Kirkland Food Bank,open,General Public,"11011 120Th Ave Ne, Kirkland, Wa 98033",47.6987817,-122.1818137,(425)-869-6000,https://www.hopelink.org/programs/food-program/,"Monday, Tuesday, Wednesday, Thursday",8/12/2025,foodbank97
food bank,Hopelink,Lake Hills Elementary,open,General Public,"14310 Se 12Th St, Bellevue, Wa 98007",47.600419,-122.1487891,(425)-889-7880,https://www.hopelink.org/programs/food-program/mobile-market/,"Tuesday, Wednesday, Thursday",8/7/2025,foodbank98
food bank,Hopelink,Redmond Food Bank,open,General Public,"8990 154Th Ave Ne, Redmond, Wa 98052",47.6818932,-122.13423,(425)-869-6000,https://www.hopelink.org/programs/food-program/,"Monday, Tuesday, Wednesday, Thursday",8/7/2025,foodbank99
