"Food Resource Type","Agency","Location","Operational Status","Who They Serve","Address","Latitude","Longitude","Phone Number","Website","Days/Hours","Date Updated"
"Food Bank & Meal","Blessed Sacrament","First United Methodist Church of Seattle","Open","General Public","5050 8th Ave NE, Seattle, WA 98105","47.6664368","-122.3190289","(206)-547-3020","https://www.blessed-sacrament.org/outreach","Sunday, Friday","8/12/2025"
"Meal","Bread of Life Mission","Bread of Life Mission","Open","General Public","97 S Main St, Seattle, WA 98104","47.5999268","-122.334605","(206)-682-3579","https://www.breadoflifemission.org/emergency-services","Monday, Tuesday, Wednesday, Thursday, Friday","8/7/2025"
"Food Bank","Byrd Barr Place","The Market","Open","General Public","722 18th Ave, Seattle, WA 98122","47.6088532","-122.3085629","(206)-812-4940","https://www.byrdbarrplace.org/programs-services/food-bank/","Tuesday, Wednesday, Thursday","7/22/2025"
"Meal","Catholic Community Services of  Western Washington","African American Catholic Community Services","Open","Older Adults 60+ and Eligible Participants","1323 S Yakima Ave, Tacoma, WA 98401",,,"(253)-383-3697","https://ccsww.org/services/meal-sites/","Thursday","7/21/2025"
"Meal","Catholic Community Services of  Western Washington","Eatonville Senior Center","Open","Older Adults 60+ and Eligible Participants","305 W Center St, Eatonville, WA 98328",,,"(360)-832-3838","https://ccsww.org/services/meal-sites/","Monday, Wednesday, Friday","8/12/2025"
"Meal","Catholic Community Services of  Western Washington","Fife Community Center","Open","Older Adults 60+ and Eligible Participants","2111 54th Ave E, Fife, WA 98424",,,"(253)-896-8662","https://ccsww.org/services/meal-sites/","Wednesday, Friday","8/12/2025"
"Meal","Catholic Community Services of  Western Washington","Gig Harbor Peninsula Lutheran Church","Open","Older Adults 60+ and Eligible Participants","6509 38th Ave NW, Gig Harbor, WA 98335",,,"(253)-851-3511","https://ccsww.org/services/meal-sites/","Monday, Wednesday","8/12/2025"
"Meal","Catholic Community Services of  Western Washington","Japanese Tillicum Community Center","Open","Older Adults 60+ and Eligible Participants","14916 Washington, Tillicum, WA 98499",,,"(253)-584-1280","https://ccsww.org/services/meal-sites/","Wednesday","8/12/2025"
"Meal","Catholic Community Services of  Western Washington","Lakewood Catholic Community Services","Open","Older Adults 60+ and Eligible Participants","5705 Main St SW, Lakewood, WA 98499",,,"(253)-474-1200","https://ccsww.org/services/meal-sites/","Monday, Tuesday","8/12/2025"
"Meal","Catholic Community Services of  Western Washington","Lighthouse","Open","Older Adults 60+ and Eligible Participants","5016 S A St, Tacoma, WA 98408",,,"(253)-591-5083 & (253)-426-1282","https://ccsww.org/services/meal-sites/","Monday, Tuesday, Wednesday, Thursday, Friday","8/12/2025"
"Meal","Catholic Community Services of  Western Washington","Parkland Trinity Lutheran Church","Open","Older Adults 60+ and Eligible Participants","12115 Park Ave S, Parkland, WA 98444",,,"(253)-537-0201","https://ccsww.org/services/meal-sites/","Monday, Friday","8/12/2025"
"Meal","Catholic Community Services of  Western Washington","Tacoma Portland Ave Community Center","Open","Older Adults 60+ and Eligible Participants","3513 E Portland Ave, Tacoma, WA 98408",,,"(253)-591-5391","https://ccsww.org/services/meal-sites/","Tuesday, Thursday","8/12/2025"
"Meal","Catholic Community Services of  Western Washington","Puyallup Activity Center","Open","Older Adults 60+ and Eligible Participants","210 W Pioneer, Puyallup, WA 98371",,,"(253)-841-5447","https://ccsww.org/services/meal-sites/","Monday, Wednesday, Friday","8/12/2025"
"Meal","Catholic Community Services of  Western Washington","Ruston Pt. Defiance Senior Center","Open","Older Adults 60+ and Eligible Participants","4716 N Baltimore, Tacoma, WA 98407",,,"(253)-756-0601","https://ccsww.org/services/meal-sites/","Monday, Tuesday, Wednesday, Thursday","8/12/2025"
"Meal","Catholic Community Services of  Western Washington","Steilacoom Senior Center","Open","Older Adults 60+ and Eligible Participants","2301 Worthington, Steilacoom, WA 98388",,,"(253)-581-1076","https://ccsww.org/services/meal-sites/","Tuesday, Wednesday, Friday","8/12/2025"
"Meal","Catholic Community Services of  Western Washington","Sumner Senior Center","Open","Older Adults 60+ and Eligible Participants","15506 62nd St, East Sumner, WA 98390",,,"(253)-299-5736","https://ccsww.org/services/meal-sites/","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","8/12/2025"
"Meal","Catholic Community Services of  Western Washington","Tillicum Community Center","Open","Older Adults 60+ and Eligible Participants","14916 SW Washington, Tillicum, WA 98499",,,"(253)-584-12880","https://ccsww.org/services/meal-sites/","Monday, Thursday","8/12/2025"
"Meal","Catholic Community Services of  Western Washington","University Place Senior Center","Open","Older Adults 60+ and Eligible Participants","2534 Grandview Dr W, University Place, WA 98466",,,"(253)-564-1992","https://ccsww.org/services/meal-sites/","Friday","8/12/2025"
"Food Bank & Meal","Catholic Community Services of  Western Washington","Federal Way Senior Center","Open","Older Adults 60+ and Eligible Participants","4016 S 352nd St, Auburn, WA 98001","47.2867569","-122.2862589","(253)-838-3604","https://www.federalwayseniorcenter.org","Monday, Thursday","8/12/2025"
"Meal","Catholic Community Services of  Western Washington","Issaquah Senior Center","Open","Older Adults 60+ and Eligible Participants","180 E Sunset Way, Issaquah, WA 98207","47.5311594","-122.0331071","(425)-679-0342","https://ccsww.org/services/issaquah-meals/","Monday, Tuesday, Wednesday, Thursday, Friday","8/12/2025"
"Meal","Catholic Community Services of  Western Washington","North Bellevue Community Center","Open","Older Adults 60+ and Eligible Participants","4063 148th Ave NE, Bellevue, WA 98007","47.647434","-122.1450803","(425)-452-7681","https://www.bellevuewa.gov/city-government/departments/parks/community-centers/north-bellevue-community-center","Monday, Tuesday, Wednesday, Friday","7/21/2025"
"Meal","Catholic Community Services of  Western Washington","Pacific/Algona Senior Center","Open","Older Adults 60+ and Eligible Participants","100 3rd Ave SW, Pacific, WA 98047","47.2642772","-122.2536081","(253)-929-1150","https://www.pacificwa.gov/","Monday, Tuesday, Wednesday, Thursday, Friday","8/12/2025"
"Meal","Catholic Community Services of  Western Washington","Peter Kirk Community Center","Open","Older Adults 60+ and Eligible Participants","352 Kirkland Ave, Kirkland, WA 98033","47.67621","-122.201035","(425)-587-3360","https://www.kirklandwa.gov/depart/parks/About_Parks_and_Community_Services/Senior_Services.htm","Tuesday, Wednesday, Friday","7/21/2025"
"Meal","Catholic Community Services of  Western Washington","Phoenix Center","Open","Contact Agency for Any Eligibility Requirements","2329 Rainier Ave S, Seattle, WA 98144","47.5822614","-122.3015923","(206)-623-7219","https://www.ccsww.org/get-help/shelter-homeless-services/lazarus-center/","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","8/12/2025"
"Food Bank","Catholic Community Services of  Western Washington","Snoqualmie Valley Food Bank","Open","Older Adults 60+ and Eligible Participants","31605 3rd Ave, Black Diamond, WA 98010","47.3183476","-122.0054494","(360)-886-1011","https://www.blackdiamondcommcenter.org/","Monday, Tuesday, Wednesday, Thursday","7/25/2025"
"Meal","Catholic Community Services of  Western Washington","Victory Outreach Seattle","Open","Older Adults 60+ and Eligible Participants","2045 S 216th St, Des Moines, WA 98198","47.4072518","-122.3057897","(206)-878-1642","https://www.desmoineswa.gov/cms/one.aspx?pageId=17490998","Monday, Tuesday, Wednesday, Thursday","8/7/2025"
"Meal","Catholic Community Services of  Western Washington","Eastside Community Centr","Open","Older Adults 60+ and Eligible Participants","1721 E 56th St, Tacoma, WA 98404",,,"(253)-404-3935","https://ccsww.org/services/meal-sites/","Tuesday, Thursday","7/21/2025"
"Meal","Catholic Community Services of  Western Washington","Tacoma Beacon Senior Center","Open","Older Adults 60+ and Eligible Participants","415 S 13th, Tacoma, WA 98402",,,"(253)-591-5083","https://ccsww.org/services/meal-sites/","Monday, Tuesday, Wednesday, Thursday, Friday","8/12/2025"
"Meal","Catholic Community Services of  Western Washington","Buckley Senior Center","Open","Older Adults 60+ and Eligible Participants","811 Main St, Buckley, WA 98321",,,"(360)-829-0190","https://ccsww.org/services/meal-sites/","Monday, Wednesday, Friday","8/12/2025"
"Meal","Catholic Community Services of Western Washington & SPS","Tukwila Community Center","Open","Contact Agency for Any Eligibility Requirements","12424 42nd Ave S, Tukwila, WA 98168","47.4910151","-122.2785589","(206)-768-2822","https://ccsww.org/services/meal-sites/",,"8/12/2025"
"Food Bank & Meal","Plateau Outreach Ministries","Enumclaw Food Bank","Open","Contact Agency for Any Eligibility Requirements","1720 1/2 Wells St, Enumclaw, WA 98022","47.20533037","-121.990026","(360)-825-8961","https://www.plateauoutreach.org/","Monday, Tuesday, Wednesday","2/2/2026"
"Food Bank","Cedar Park Kenmore Church","Kenmore Food Bank","Open","General Public","18737 68th Ave NE, Kenmore, WA 98028","47.765377","-122.2498724","(425)-939-1377","https://cpkenmore.com/food-bank","Monday","7/25/2025"
"Meal","Church By The Side Of The Road","Church By the Side of the Road","Open","General Public","3455 S 148th St, Tukwila, WA 98168","47.469863","-122.2871757","(206)-243-5024","https://www.cbsr.org/","Tuesday","8/12/2025"
"Meal","Community Lunch on Capitol Hill","All Pilgrims Christian Church","Open","Contact Agency for Any Eligibility Requirements","509 10th Ave E, Seattle, WA 98102","47.623387","-122.320142","(206)-972-2524","https://www.communitylunch.org/about-1","Monday, Tuesday, Wednesday, Thursday, Friday","7/21/2025"
"Meal","Community Lunch on Capitol Hill","All Pilgrims Christian Church","Open","General Public","500 Broadway E, Seattle, WA 98102","47.6233603","-122.3203773","(206)-972-2524","https://www.communitylunch.org/about-1","Monday, Tuesday, Wednesday, Thursday, Friday","7/25/2025"
"Meal","Community Network Council","Community Network Council","Open","General Public","1819 Central Ave S, Suite 72, Kent, WA 98032","47.362482","-122.2307681","N/A","https://wacnc.org/meals-for-neighbors-program/","Tuesday, Thursday","8/13/2025"
"Meal","Des Moines Area Food Bank","Abbey Ridge Apartments","Open","Youth and Young Adults","3035 S 204th St, SeaTac, WA 98198",,,"(206)-878-2660","https://www.myfoodbank.org/meals-for-kids.html","Monday, Tuesday, Wednesday, Thursday, Friday","8/12/2025"
"Meal","Des Moines Area Food Bank","Angle Lake Park","Open","Youth and Young Adults","19408 International Blvd, SeaTac, WA 98188","47.42802993","-122.2928406","(206)-878-2660","https://www.myfoodbank.org/meals-for-kids.html","Monday, Tuesday, Wednesday, Thursday, Friday","8/7/2025"
"Meal","Des Moines Area Food Bank","Des Moines Field House","Open","Youth and Young Adults","1000 S 220th St, Des Moines, WA 98198","47.4049627","-122.3208554","(206)-878-2660","https://www.myfoodbank.org/meals-for-kids.html","Monday, Wednesday, Friday","8/11/2025"
"Meal","Des Moines Area Food Bank","Des Moines Marina Farmers Market","Open","Youth and Young Adults","22307 Dock Ave S, Des Moines, WA 98198","47.4018118","-122.3294018","(206)-878-2660","https://www.myfoodbank.org/meals-for-kids.html","Saturday","8/7/2025"
"Food Bank","Des Moines Area Food Bank","Des Moines United Methodist Church","Open","General Public","22225 9th Ave S, Des Moines, WA 98198","47.4022373","-122.3224371","(206)-878-2660","https://www.myfoodbank.org/services.html","Monday, Tuesday, Wednesday, Friday","8/11/2025"
"Meal","Des Moines Area Food Bank","Lakeview Park","Open","Youth and Young Adults","422 SW 160th St, Burien, WA 98166",,,"(206)-878-2660","https://www.myfoodbank.org/meals-for-kids.html","Monday","8/12/2025"
"Meal","Des Moines Area Food Bank","McMicken Park","Open","Youth and Young Adults","S 166th St & 37th Ave S, SeaTac, WA 98188","47.47755124","-122.2852127","(206)-878-2660","https://www.myfoodbank.org/meals-for-kids.html","Monday, Tuesday, Wednesday, Thursday, Friday","8/7/2025"
"Meal","Des Moines Area Food Bank","Midway Park","Open","Youth and Young Adults","S 221st St & 29th Ave S, Des Moines, WA 98198","47.4036369","-122.2982037","(206)-878-2660","https://www.myfoodbank.org/meals-for-kids.html","Monday, Tuesday, Wednesday, Thursday, Friday","7/25/2025"
"Meal","Des Moines Area Food Bank","Pine Ridge Apartments","Open","Youth and Young Adults","3725 S 180th St, SeaTac, WA 98188","47.4409849","-122.2885294","(206)-878-2660","https://www.myfoodbank.org/meals-for-kids.html","Monday, Tuesday, Wednesday, Thursday, Friday","8/12/2025"
"Meal","Des Moines Area Food Bank","Redondo Beach Park","Open","Youth and Young Adults","Redondo Beach Dr S and Redondo Way S, Des Moines, WA 98198","47.34855775","-122.3250986","(206)-878-2660","https://www.myfoodbank.org/meals-for-kids.html","Monday, Tuesday, Wednesday, Thursday, Friday","8/7/2025"
"Meal","Des Moines Area Food Bank","Steve Cox Memorial Park","Open","Youth and Young Adults","1321 SW 102nd�St, Seattle, WA 98146",,,"(206)-878-2660","https://www.myfoodbank.org/meals-for-kids.html","Monday, Tuesday, Wednesday, Thursday, Friday","8/12/2025"
"Meal","Des Moines Area Food Bank","Underwood Park","Open","Youth and Young Adults","20th Ave S, Des Moines, WA 98198",,,"(206)-878-2660","https://www.myfoodbank.org/meals-for-kids.html","Monday, Tuesday, Wednesday, Thursday, Friday","8/12/2025"
"Meal","Des Moines Area Food Bank","Valley Ridge Park","Open","Youth and Young Adults","4644 S 188th St, SeaTac, WA 98188",,,"(206)-878-2660","https://www.myfoodbank.org/meals-for-kids.html","Monday, Tuesday, Wednesday, Thursday, Friday","8/12/2025"
"Meal","Des Moines Area Food Bank","Valley View Library","Open","Youth and Young Adults","17850 Military Rd S, SeaTac, WA 98188",,,"(206)-878-2660","https://www.myfoodbank.org/meals-for-kids.html","Monday, Tuesday, Wednesday, Thursday, Friday","8/12/2025"
"Meal","Des Moines Area Food Bank","Willow Lake Apartments","Open","Youth and Young Adults","3002 32nd Ave S, SeaTac, WA 98188","47.444696","-122.2941207","(206)-878-2660","https://www.myfoodbank.org/meals-for-kids.html","Monday, Tuesday, Wednesday, Thursday, Friday","7/21/2025"
"Meal","Des Moines Area Food Bank","Windsor Heights Apartments","Open","Youth and Young Adults","17229 32nd Ave S, SeaTac, WA 98188","47.448479","-122.2956636","(206)-878-2660","https://www.myfoodbank.org/meals-for-kids.html","Monday, Tuesday, Wednesday, Thursday, Friday","7/21/2025"
"Food Bank & Meal","El Centro de la Raza","El Centro de la Raza","Open","Food Bank: General Public 
Meals: Older Adults 60+ and Eligible Participants","2524 16th Ave S, Seattle, WA 98144","47.5805157","-122.3113797","(206)-957-4605","https://www.elcentrodelaraza.org/get-help/human-emergency-services/food-bank/","Wednesday, Thursday, Friday","7/21/2025"
"Food Bank","Epic Church","The Giving Room","Open","General Public","10510 Stone Ave N, Seattle, WA 98133","47.7052676","-122.3416573","(206)-552-9586","https://www.epiclifechurch.org/incarnational-ministry","Monday","8/12/2025"
"Food Bank & Meal","Eritrean Association in Greater Seattle","Eritrean Association in Greater Seattle","Open","Older Adults 60+ and Eligible Participants","1954 S Massachusetts St, Seattle, WA 98144","47.58918453","-122.3072811","(206)-548-6387","https://www.eritreanassociation.org/programs-blog/blog-post-title-four-thpy4",,"8/7/2025"
"Food Bank","Fall City Community Food Pantry","Fall City United Methodist Church","Open","General Public","4326 337th Place SE, Fall City, WA 98024","47.5662398","-121.8906809","(425)-269-8098","https://www.fallcityfoodpantry.org/what-we-do-1","Wednesday","8/7/2025"
"Food Bank","Salvation Army","Greenwood Food Bank - Hope Market","Open","General Public","9501 Greenwood Ave N, Seattle, WA 98103","47.6984899","-122.3557886","N/A","https://seattletemple.salvationarmy.org/seattle_temple_corps/greenwood-food-bank-1/","Tuesday, Wednesday","11/5/2025"
"Food Bank","FamilyWorks","Wallingford Food Bank","Open","General Public","4318 Stone Way N, Seattle, WA 98103","47.6597609","-122.3444542","(206)-647-1780","https://www.familyworksseattle.org/food-banks/","Tuesday, Thursday, Friday","11/5/2025"
"Meal","Federal Way Community Caregiving Network","Christian Faith Center","Open","General Public","33645 20th Ave S,�Federal Way, WA 98003","47.2987135","-122.3086459","(253)-661-0505","https://www.fwccn.org/services.html","Monday","8/12/2025"
"Meal","Federal Way Community Caregiving Network","St. Vincent de Paul Catholic Church","Open","General Public","345 S 312th, Federal Way, WA 98003","47.2987135","-122.3086459","(253)-661-0505","https://www.fwccn.org/services.html","Saturday","7/25/2025"
"Food Bank","Federal Way Food Bank","Multi-Service Center","Open","General Public","�27614 Pacific Highway S, Federal Way, WA 98003","47.3013527","-122.320142","(253)-838-6810","https://mschelps.org/gethelp/food/","Tuesday, Wednesday, Thursday","8/12/2025"
"Food Bank & Meal","Filipino Community of Seattle","Filipino Community of Seattle Meals and Food Bank","Open","Food Bank: General Public 
Meals: Older Adults 60+ and Eligible Participants","5740 Martin Luther King Jr Way S, Seattle, WA 98144","47.5500465","-122.2871358","(206)-722-9372","https://www.filcommsea.org/senior-services","Monday, Tuesday, Thursday","8/7/2025"
"Meal","Filipino Community of Seattle","Eritrean Association in Greater Seattle","Open","Older Adults 60+ and Eligible Participants","1528 Valentine Pl S, Seattle, WA 98144","47.5888499","-122.3070989","(206)-722-9372","https://www.filcommsea.org/index.php/programs/","Monday, Tuesday, Thursday","8/7/2025"
"Meal","First Covenant Church","First Covenant Church","Open","Contact Agency for Any Eligibility Requirements","400 E Pike St, Seattle, WA 98122","47.6142392","-122.3263239","(206)-322-7411","https://www.firstcovenantseattle.org/outreach","Saturday","8/12/2025"
"Meal","First United Methodist Church of Seattle","First United Methodist Church of Seattle","Open","General Public","180 Denny Way, Seattle, WA 98109","47.6188068","-122.3531962","(206)-622-7278","https://www.firstchurchseattle.org/shared-breakfast/?fbclid=IwAR2EAykPB90--700TuZeuY3aX18yx3tXkg9lbCW8qVghb3RgTCJJnwkB7wQ","Sunday","8/7/2025"
"Meal","Food Not Bombs - Seattle","Occidental Park","Open","General Public","Occidental Ave S and S Main St, Seattle, WA 98104","47.6000475","-122.3328885","(206)-397-6815","https://www.seattlefoodnotbombs.org/?fbclid=IwAR3T68e9asOm5ksmU_CuHK8ppZZir1QFQBRn_HbSvUCNvhDb7sGxeFXhr_g","Sunday, Saturday","7/22/2025"
"Meal","Frelard Tamales","Frelard Tamales","Open","General Public","6412 Latona Ave NE, Seattle, WA 98115","47.6756763","-122.3252185","(206)-523-6654","https://www.frelardtamales.com/","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","8/12/2025"
"Meal","Greater Maple Valley Community Center","Greater Maple Valley Community Center","Open","Older Adults 60+ and Eligible Participants","22010 SE 248th St, Maple Valley, WA 98038","47.380747","-122.0477423","(425)-432-1272","https://www.maplevalleycc.org/","Monday, Wednesday, Friday","8/7/2025"
"Meal","Green Sprouts","SeaTac Community Center","Open","Older Adults 60+ and Eligible Participants","13735 24th Ave S, SeaTac, WA 98168","47.4802984","-122.3038972","(206)-973-4690","https://www.seatacwa.gov/services/senior-program","Tuesday, Wednesday, Thursday, Friday","7/25/2025"
"Food Bank","Help Northwest","Help Northwest","Open","General Public","404 22nd St SE, #D, Auburn, WA 98002","47.2883898","-122.2238173","(206)-227-5977","https://www.helpnorthwest.com/1401.html","Monday, Tuesday, Wednesday, Thursday, Friday","8/12/2025"
"Food Bank","Highline Area Food Bank","Highline Area Food Bank","Open","General Public","18300 4th Ave S, Burien, WA 98148","47.4383823","-122.3275755","(206)-433-9900","https://www.highlineareafoodbank.org/","Tuesday, Thursday","7/22/2025"
"Food Bank","Holy Innocents Food Pantry","Holy Innocents Church","Open","General Public","26526 NE Cherry Valley Rd, Duvall, WA 98019","47.7482852","-121.9818384","(425)-788-1400","https://www.holyinn.org/holy-innocents-food-pantry","Tuesday, Wednesday","8/7/2025"
"Meal","Holy Spirit Church","Holy Spirit Church","Open","General Public","310 3rd Ave S, Kent, WA 98032","47.3790708","-122.2357517","(253)-859-0444","https://www.holyspiritkent.org/","Friday","7/28/2025"
"Food Bank","Holy Temple Evangelistic Center","Holy Temple Evangelistic Center","Open","General Public","12600 Renton Ave S, Seattle, WA 98178","47.4917411","-122.2393177","(206)-722-3984","https://www.facebook.com/HolyTECSeattle/",,"7/28/2025"
"Food Bank","Hopelink","Bellevue Food Bank","Open","General Public","14812 Main St, Bellevue, WA 98007","47.6101989","-122.1414751","(425)-869-6000","https://www.hopelink.org/need-help/food#collapseTen","Monday, Tuesday, Wednesday, Thursday","8/12/2025"
"Food Bank","Hopelink","Duvall Redemption Church","Open","General Public","15305 Main St NE, Duvall, WA 98019","47.7384956","-121.9874376","(425)-869-6000","https://www.hopelink.org/programs/food-program/mobile-market/","Tuesday, Wednesday, Thursday","7/22/2025"
"Food Bank","Hopelink","Fall City Library","Open","General Public","33415 SE 42nd Pl, Fall City, WA 98024","47.5687511","-121.8939291","(425)-869-6000","https://www.hopelink.org/programs/food-program/mobile-market/","Wednesday","7/22/2025"
"Food Bank","Hopelink","Kenmore Community Church","Open","General Public","7504 NE Bothell Way, Kenmore, WA 98028","47.7574803","-122.2403086","(425)-869-6000","https://www.hopelink.org/programs/food-program/mobile-market/","Thursday","7/28/2025"
"Food Bank","Hopelink","Kenmore Senior Center","Open","General Public","6910 NE 170th St, Kenmore, WA 98028","47.752997","-122.2498849","(425)-869-6000","https://www.hopelink.org/programs/food-program/mobile-market/","Tuesday","7/28/2025"
"Food Bank","Hopelink","Kirkland Food Bank","Open","General Public","11011 120th Ave NE, Kirkland, WA 98033","47.6987817","-122.1818137","(425)-869-6000","https://www.hopelink.org/programs/food-program/","Monday, Tuesday, Wednesday, Thursday","8/12/2025"
"Food Bank","Hopelink","Lake Hills Elementary","Open","General Public","14310 SE 12th St, Bellevue, WA 98007","47.600419","-122.1487891","(425)-889-7880","https://www.hopelink.org/programs/food-program/mobile-market/","Tuesday, Wednesday, Thursday","8/7/2025"
"Food Bank","Hopelink","Redmond Food Bank","Open","General Public","8990 154th Ave NE, Redmond, WA 98052","47.6818932","-122.13423","(425)-869-6000","https://www.hopelink.org/programs/food-program/","Monday, Tuesday, Wednesday, Thursday","8/7/2025"
"Food Bank","Hopelink","Shoreline Food Bank","Open","General Public","17837 Aurora Ave N, Shoreline, WA 98133","47.758995","-122.3668098","(206)-440-7300","https://www.hopelink.org/need-help/food#collapseTen","Monday, Tuesday, Wednesday, Thursday","7/28/2025"
"Food Bank","Hopelink","Sno-Valley Food Bank","Open","General Public","31957 E Commercial St, Carnation, WA 98014","47.6488697","-121.912673","(425)-333-4163","https://www.hopelink.org/need-help/food#collapseTen","Monday, Wednesday, Thursday","7/28/2025"
"Food Bank","Hopelink","UW Bothell/Cascadia College","Open","General Public","18115 Campus Way NE, Building CC2, Bothell, WA 98011","47.7612687","-122.1918002","(425)-869-6000","https://www.hopelink.org/programs/food-program/mobile-market/","Thursday","7/22/2025"
